sample_name,pub_toc,initial_toc,test_tc,pub_tn,initial_tn,test_tn
BSLE_0001-solid,23.2,56.78,54.66,0.82,1.63,1.25
BSLE_0002-solid,26.14,67.73,66.47,0.6,1.23,0.92
BSLE_0003-solid,36.43,46.33,NA,1.09,1.5,NA
BSLE_0004-solid,38.61,NA,51.91,0.92,NA,1.23
BSLE_0005-solid,35.99,NA,NA,1.09,NA,NA
BSLE_0006-solid,34.94,NA,NA,1.09,NA,NA
BSLE_0007-solid,19.4,NA,NA,0.47,NA,NA
BSLE_0008-solid,25.45,NA,NA,0.53,NA,NA
BSLE_0009-solid,21.36,NA,NA,0.99,NA,NA
BSLE_0010-solid,12.81,67.79,NA,0.26,0.67,NA
BSLE_0011-solid,18.8,50.67,NA,0.88,1.93,NA
BSLE_0012-solid,34.82,47.61,NA,1.31,1.68,NA
BSLE_0013-solid,33.19,46.92,NA,0.9,1.29,NA
BSLE_0014-solid,34.19,45.64,NA,0.84,1.52,NA
BSLE_0016-solid,31.32,0.03,51.39,0.99,0.01,1.38
BSLE_0017-solid,29.43,50.15,NA,0.86,1.56,NA
BSLE_0018-solid,25.31,NA,NA,0.89,NA,NA
BSLE_0019-solid,22.62,NA,NA,1.31,NA,NA
BSLE_0020-solid,28.27,NA,NA,0.91,NA,NA
BSLE_0021-solid,27.12,NA,NA,1.13,NA,NA
BSLE_0022-solid,31.65,NA,NA,0.9,NA,NA
BSLE_0023-solid,22.76,NA,NA,0.79,NA,NA
BSLE_0024-solid,30.38,NA,NA,0.77,NA,NA
BSLE_0025-solid,19.23,NA,NA,0.73,NA,NA
BSLE_0026-solid,20.42,NA,NA,0.62,NA,NA
BSLE_0027-solid,31.94,NA,NA,0.99,NA,NA
BSLE_0028-solid,21.38,NA,NA,0.55,NA,NA
BSLE_0029-solid,7.15,NA,NA,0.21,NA,NA
BSLE_0030-solid,19.32,NA,NA,0.55,NA,NA
BSLE_0031-solid,23.29,NA,NA,0.86,NA,NA
BSLE_0032-solid,23.22,NA,NA,0.77,NA,NA
BSLE_0033-solid,29.81,NA,NA,0.88,NA,NA
BSLE_0034-solid,29.69,NA,NA,0.82,NA,NA
BSLE_0035-solid,30.49,NA,NA,1.02,NA,NA
BSLE_0036-solid,31.45,NA,NA,1.09,NA,NA
BSLE_0037-solid,14.62,NA,NA,0.49,NA,NA
BSLE_0038-solid,11.73,NA,NA,0.53,NA,NA
BSLE_0039-solid,38.22,NA,NA,1.09,NA,NA
BSLE_0040-solid,36,NA,NA,1.13,NA,NA
BSLE_0041-solid,35.96,NA,NA,1.09,NA,NA
BSLE_0042-solid,34.13,NA,NA,1.07,NA,NA
BSLE_0043-solid,34.6,NA,NA,0.99,NA,NA
BSLE_0044-solid,32.67,NA,NA,0.89,NA,NA
BSLE_0045-solid,33.66,NA,NA,0.91,NA,NA
BSLE_0046-solid,33.33,NA,NA,0.7,NA,NA
BSLE_0047-solid,34.32,NA,NA,0.98,NA,NA
BSLE_0050-solid,11.1,61.44,62.4,0.51,1.23,0.96
BSLE_0051-solid,9.23,70.3,NA,0.41,1.19,NA
BSLE_0052-solid,16.09,61.97,NA,0.7,1.37,NA
BSLE_0055-solid,13.11,NA,NA,0.47,NA,NA
BSLE_0056-solid,19.69,NA,NA,0.65,NA,NA
BSLE_0057-solid,16.33,NA,NA,1.05,NA,NA
BSLE_0058-solid,6.11,75.04,NA,0.34,0.75,NA
BSLE_0060-solid,11.05,NA,NA,0.64,NA,NA
BSLE_0061-solid,9.53,NA,NA,0.24,NA,NA
BSLE_0063-solid,12.14,NA,NA,0.41,NA,NA
BSLE_0065-solid,8.19,NA,NA,0.25,NA,NA
BSLE_0066-solid,8.71,NA,NA,0.29,NA,NA
BSLE_0067-solid,9.36,49.61,NA,0.27,1.05,NA
BSLE_0068-solid,13.4,28.13,NA,0.6,1.7,NA
BSLE_0070-solid,19.04,NA,NA,0.45,NA,NA
BSLE_0071-solid,11.57,59.12,NA,0.36,1.35,NA
BSLE_0072-solid,17.59,17.91,NA,0.46,1.42,NA
BSLE_0073-solid,19.69,49.96,NA,0.91,1.93,NA
BSLE_0079-solid,13.03,NA,NA,0.59,NA,NA
BSLE_0083-solid,15.17,NA,NA,0.68,NA,NA
BSLE_0084-solid,11.82,NA,NA,0.4,NA,NA
BSLE_0085-solid,11.04,NA,NA,0.47,NA,NA
BSLE_0086-solid,13.8,NA,NA,0.36,NA,NA
sed_ocean-solid,NA,NA,4.74,NA,NA,0.25
sed_ny-nj-solid,NA,NA,5.11,NA,NA,0.34
